REGULATOR	TARGET
YJR060W	YAL012W
YJR060W	YAL017W
YJR060W	YAL018C
YJR060W	YAL026C
YJR060W	YAL053W
YJR060W	YAL054C
YJR060W	YBL068W
YJR060W	YBR011C
YJR060W	YBR015C
YJR060W	YBR016W
YJR060W	YBR082C
YJR060W	YBR089C-A
YJR060W	YBR090C
YJR060W	YBR144C
YJR060W	YBR145W
YJR060W	YBR213W
YJR060W	YBR222C
YJR060W	YBR223W-A
YJR060W	YBR249C
YJR060W	YBR250W
YJR060W	YBR255C-A
YJR060W	YBR287W
YJR060W	YCL034W
YJR060W	YCL035C
YJR060W	YCL040W
YJR060W	YCL041C
YJR060W	YCL042W
YJR060W	YCL043C
YJR060W	YCR011C
YJR060W	YCR012W
YJR060W	YCR087C-A
YJR060W	YCR088W
YJR060W	YCR092C
YJR060W	YCR093W
YJR060W	YCR098C
YJR060W	YDL006W
YJR060W	YDL020C
YJR060W	YDL058W
YJR060W	YDL059C
YJR060W	YDL073W
YJR060W	YDL074C
YJR060W	YDL112W
YJR060W	YDL113C
YJR060W	YDL120W
YJR060W	YDL121C
YJR060W	YDL241W
YJR060W	YDR022C
YJR060W	YDR023W
YJR060W	YDR054C
YJR060W	YDR055W
YJR060W	YDR061W
YJR060W	YDR072C
YJR060W	YDR115W
YJR060W	YDR253C
YJR060W	YDR254W
YJR060W	YDR267C
YJR060W	YDR268W
YJR060W	YDR381C-A
YJR060W	YDR382W
YJR060W	YDR437W
YJR060W	YDR438W
YJR060W	YDR502C
YJR060W	YDR503C
YJR060W	YDR508C
YJR060W	YDR510C-A
YJR060W	YDR510W
YJR060W	YDR511W
YJR060W	YDR513W
YJR060W	YDR530C
YJR060W	YDR531W
YJR060W	YEL043W
YJR060W	YEL044W
YJR060W	YEL045C
YJR060W	YEL071W
YJR060W	YEL072W
YJR060W	YER043C
YJR060W	YER052C
YJR060W	YER053C
YJR060W	YER057C
YJR060W	YER058W
YJR060W	YER071C
YJR060W	YER072W
YJR060W	YER074W-A
YJR060W	YER091C-A
YJR060W	YER092W
YJR060W	YER099C
YJR060W	YER100W
YJR060W	YER112W
YJR060W	YER114C
YJR060W	YER124C
YJR060W	YER125W
YJR060W	YER177W
YJR060W	YFL017W-A
YJR060W	YFL018C
YJR060W	YFL031W
YJR060W	YFL032W
YJR060W	YFL033C
YJR060W	YFR030W
YJR060W	YFR033C
YJR060W	YFR049W
YJR060W	YGL055W
YJR060W	YGL056C
YJR060W	YGL063C-A
YJR060W	YGL125W
YJR060W	YGL126W
YJR060W	YGL127C
YJR060W	YGL252C
YJR060W	YGR015C
